tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
BRa.10a:LP-DIR-T0	BRa.10a:LP-DIR-T	BRa.10a	1.6	230.2	23.7	0	0	0.0	0.0	0	273.0	This study	hargrave 2017-08-30 13:03:03	LT-NO:LP-DIR-T	g	0	u	8	273			pmagpy-4.2.5	4.15e-07	7.11e-09	7.2e-09	6.9400000000000004e-09	BRa.10	BRa	Bad River
BRa.10a:LP-DIR-T1	BRa.10a:LP-DIR-T	BRa.10a	1.9	228.0	23.1	0	0	0.0	0.0	1	373.0	This study	hargrave 2017-09-11 15:35:27	LT-T-Z:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.5	4.1299999999999995e-07	9.06e-09	6.65e-09	9.7e-09	BRa.10	BRa	Bad River
BRa.10a:LP-DIR-T2	BRa.10a:LP-DIR-T	BRa.10a	1.3	232.8	20.5	0	0	0.0	0.0	2	473.0	This study	hargrave 2017-09-18 13:17:51	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.5	3.95e-07	3.9e-09	6.25e-09	6.25e-09	BRa.10	BRa	Bad River
BRa.10a:LP-DIR-T3	BRa.10a:LP-DIR-T	BRa.10a	1.3	229.7	19.2	0	0	0.0	0.0	3	573.0	This study	hargrave 2017-09-20 12:09:08	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.5	3.579999999999999e-07	2.64e-09	3.6099999999999997e-09	6.9400000000000004e-09	BRa.10	BRa	Bad River
BRa.10a:LP-DIR-T4	BRa.10a:LP-DIR-T	BRa.10a	1.4	226.4	17.5	0	0	0.0	0.0	4	673.0	This study	hargrave 2017-09-27 12:21:02	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.5	3.07e-07	2.9399999999999998e-09	3.3899999999999997e-09	6.26e-09	BRa.10	BRa	Bad River
BRa.10a:LP-DIR-T5	BRa.10a:LP-DIR-T	BRa.10a	2.0	224.3	16.0	0	0	0.0	0.0	5	723.0	This study	hargrave 2017-09-30 20:00:48	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.5	2.79e-07	8.11e-09	5.2e-09	3.08e-09	BRa.10	BRa	Bad River
BRa.10a:LP-DIR-T6	BRa.10a:LP-DIR-T	BRa.10a	3.9	218.5	15.7	0	0	0.0	0.0	6	773.0	This study	hargrave 2017-10-14 16:57:56	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.5	2.3e-07	1.01e-08	1.1200000000000001e-08	4.74e-09	BRa.10	BRa	Bad River
BRa.10a:LP-DIR-T7	BRa.10a:LP-DIR-T	BRa.10a	2.0	223.3	15.5	0	0	0.0	0.0	7	798.0	This study	hargrave 2017-10-22 12:09:15	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.5	2.22e-07	5.25e-09	4.9e-09	3.25e-09	BRa.10	BRa	Bad River
BRa.10a:LP-DIR-T8	BRa.10a:LP-DIR-T	BRa.10a	4.9	224.4	14.0	0	0	0.0	0.0	8	823.0	This study	hargrave 2017-11-04 16:19:47	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.5	2.0399999999999997e-07	1.09e-08	1.32e-08	4.36e-09	BRa.10	BRa	Bad River
BRa.10a:LP-DIR-T9	BRa.10a:LP-DIR-T	BRa.10a	7.0	216.5	14.0	0	0	0.0	0.0	9	828.0	This study	hargrave 2017-11-18 17:24:19	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.5	1.93e-07	1.53e-08	1.77e-08	4.7100000000000005e-09	BRa.10	BRa	Bad River
BRa.10a:LP-DIR-T10	BRa.10a:LP-DIR-T	BRa.10a	2.0	217.0	14.4	0	0	0.0	0.0	10	833.0	This study	hargrave 2018-01-23 12:23:51	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.5	1.92e-07	2.6300000000000002e-09	5.28e-09	3.4799999999999996e-09	BRa.10	BRa	Bad River
