tab	specimens																					
analysts	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	volume	weight
	This study		MT	17.4	237.3	22.6	7.4	2	18	-1	hargrave 2018-11-14 01:31:19	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.10	pmagpy-4.2.17: demag_gui	BRa.10a		
	This study		HT	0	218.3	10.9	1.8	2	9	-1	hargrave 2018-11-14 01:31:19	u	962	944	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.10	pmagpy-4.2.17: demag_gui	BRa.10a		
	This study		MT	17.4	237.6	32.9	7.4	2	18	0	hargrave 2018-11-14 01:31:19	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.10	pmagpy-4.2.17: demag_gui	BRa.10a		
	This study		HT	0	213.3	27.7	1.8	2	9	0	hargrave 2018-11-14 01:31:19	u	962	944	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.10	pmagpy-4.2.17: demag_gui	BRa.10a		
	This study		MT	17.4	251.1	-11.5	7.4	2	18	100	hargrave 2018-11-14 01:31:19	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.10	pmagpy-4.2.17: demag_gui	BRa.10a		
	This study		HT	0	238.3	6	1.8	2	9	100	hargrave 2018-11-14 01:31:19	u	962	944	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.10	pmagpy-4.2.17: demag_gui	BRa.10a		
	This study		HT	0	196.4	5	1.6	2	6	-1	hargrave 2018-11-14 03:24:08	u	962	952	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.11	pmagpy-4.2.17: demag_gui	BRa.11a		
	This study		MT	2.3	202.2	6.9	21.6	2	16	-1	hargrave 2018-11-14 03:24:08	u	923	723	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.11	pmagpy-4.2.17: demag_gui	BRa.11a		
	This study		HT	0	207.6	28.9	1.6	2	6	0	hargrave 2018-11-14 03:24:08	u	962	952	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.11	pmagpy-4.2.17: demag_gui	BRa.11a		
	This study		MT	2.3	214.5	29.8	21.6	2	16	0	hargrave 2018-11-14 03:24:08	u	923	723	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.11	pmagpy-4.2.17: demag_gui	BRa.11a		
	This study		HT	0	238.2	11.1	1.6	2	6	100	hargrave 2018-11-14 03:24:08	u	962	952	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.11	pmagpy-4.2.17: demag_gui	BRa.11a		
	This study		MT	2.3	240.7	5.5	21.6	2	16	100	hargrave 2018-11-14 03:24:08	u	923	723	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.11	pmagpy-4.2.17: demag_gui	BRa.11a		
	This study		HT	0	200.8	-1.7	3.4	2	9	-1	hargrave 2018-11-14 01:35:50	u	962	944	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.12	pmagpy-4.2.17: demag_gui	BRa.12a		
	This study		MT	18	219.7	9.9	12.4	2	18	-1	hargrave 2018-11-14 01:35:50	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.12	pmagpy-4.2.17: demag_gui	BRa.12a		
	This study		HT	0	213.8	24.4	3.4	2	9	0	hargrave 2018-11-14 01:35:50	u	962	944	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.12	pmagpy-4.2.17: demag_gui	BRa.12a		
	This study		MT	18	237.8	30.5	12.4	2	18	0	hargrave 2018-11-14 01:35:50	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.12	pmagpy-4.2.17: demag_gui	BRa.12a		
	This study		HT	0	235.3	4.6	3.4	2	9	100	hargrave 2018-11-14 01:35:50	u	962	944	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.12	pmagpy-4.2.17: demag_gui	BRa.12a		
	This study		MT	18	249.1	-12.8	12.4	2	18	100	hargrave 2018-11-14 01:35:50	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.12	pmagpy-4.2.17: demag_gui	BRa.12a		
	This study		MT	3.9	303.3	47.7	2.1	2	18	-1	hargrave 2018-11-14 01:36:56	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.13	pmagpy-4.2.17: demag_gui	BRa.13a		
	This study		HT	0	276.5	52.4	5.2	2	11	-1	hargrave 2018-11-14 01:36:56	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.13	pmagpy-4.2.17: demag_gui	BRa.13a		
	This study		MT	3.9	252.5	31.7	2.1	2	18	0	hargrave 2018-11-14 01:36:56	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.13	pmagpy-4.2.17: demag_gui	BRa.13a		
	This study		HT	0	236.3	44	5.2	2	11	0	hargrave 2018-11-14 01:36:56	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.13	pmagpy-4.2.17: demag_gui	BRa.13a		
	This study		MT	3.9	257.4	-22.6	2.1	2	18	100	hargrave 2018-11-14 01:36:56	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.13	pmagpy-4.2.17: demag_gui	BRa.13a		
	This study		HT	0	260.4	-5.2	5.2	2	11	100	hargrave 2018-11-14 01:36:56	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.13	pmagpy-4.2.17: demag_gui	BRa.13a		
	This study		MT	5.1	161	0.3	2.8	2	18	-1	hargrave 2018-11-14 02:41:12	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.14	pmagpy-4.2.17: demag_gui	BRa.14a		
	This study		HT	0	148.4	8.5	3.9	2	11	-1	hargrave 2018-11-14 02:41:12	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.14	pmagpy-4.2.17: demag_gui	BRa.14a		
	This study		MT	5.1	245.7	51	2.8	2	18	0	hargrave 2018-11-14 02:41:12	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.14	pmagpy-4.2.17: demag_gui	BRa.14a		
	This study		HT	0	221.9	50.8	3.9	2	11	0	hargrave 2018-11-14 02:41:12	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.14	pmagpy-4.2.17: demag_gui	BRa.14a		
	This study		MT	5.1	269.7	-6.6	2.8	2	18	100	hargrave 2018-11-14 02:41:12	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.14	pmagpy-4.2.17: demag_gui	BRa.14a		
	This study		HT	0	262.5	6.5	3.9	2	11	100	hargrave 2018-11-14 02:41:12	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.14	pmagpy-4.2.17: demag_gui	BRa.14a		
	This study		MT	2.7	178.4	20.9	3.6	2	18	-1	hargrave 2018-11-14 02:42:21	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.15	pmagpy-4.2.17: demag_gui	BRa.15a		
	This study		HT	0	174.7	23.2	5	2	11	-1	hargrave 2018-11-14 02:42:21	u	960	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.15	pmagpy-4.2.17: demag_gui	BRa.15a		
	This study		MT	2.7	255	27.9	3.6	2	18	0	hargrave 2018-11-14 02:42:21	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.15	pmagpy-4.2.17: demag_gui	BRa.15a		
	This study		HT	0	251.1	30.2	5	2	11	0	hargrave 2018-11-14 02:42:21	u	960	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.15	pmagpy-4.2.17: demag_gui	BRa.15a		
	This study		MT	2.7	255.6	-26.7	3.6	2	18	100	hargrave 2018-11-14 02:42:21	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.15	pmagpy-4.2.17: demag_gui	BRa.15a		
	This study		HT	0	255.2	-22.6	5	2	11	100	hargrave 2018-11-14 02:42:21	u	960	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.15	pmagpy-4.2.17: demag_gui	BRa.15a		
	This study		HT	0	143.3	-2	5.5	2	3	-1	hargrave 2018-11-14 02:43:32	u	962	958	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.16	pmagpy-4.2.17: demag_gui	BRa.16a		
	This study		MT	5.6	152.4	-21.1	4	2	18	-1	hargrave 2018-11-14 02:43:32	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.16	pmagpy-4.2.17: demag_gui	BRa.16a		
	This study		HT	0	237.7	45.4	5.5	2	3	0	hargrave 2018-11-14 02:43:32	u	962	958	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.16	pmagpy-4.2.17: demag_gui	BRa.16a		
	This study		MT	5.6	263.4	36.7	4	2	18	0	hargrave 2018-11-14 02:43:32	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.16	pmagpy-4.2.17: demag_gui	BRa.16a		
	This study		HT	0	262.1	-5.3	5.5	2	3	100	hargrave 2018-11-14 02:43:32	u	962	958	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.16	pmagpy-4.2.17: demag_gui	BRa.16a		
	This study		MT	5.6	268.1	-25.6	4	2	18	100	hargrave 2018-11-14 02:43:32	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.16	pmagpy-4.2.17: demag_gui	BRa.16a		
	This study		MT	6.7	29.8	43.4	4.5	2	18	-1	hargrave 2018-11-14 02:44:47	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.17	pmagpy-4.2.17: demag_gui	BRa.17a		
	This study		HT	0	8.1	36.6	5.5	2	12	-1	hargrave 2018-11-14 02:44:47	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.17	pmagpy-4.2.17: demag_gui	BRa.17a		
