tab	locations
location	age	age_high	age_low	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	analysts	citations
Bad River, Wisconsin	1075	1080	1040	Ma	46.3866	46.3852	269.3663	269.3627	Sedimentary	Siltstone	Outcrop		This study
>>>>>>>>>>
tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
BRa.10a:LP-DIR-T	BRa.10a:LP-DIR-T	BRa.10a	1.6	230.2	23.7	0	0	0	0	0	273	This study	hargrave 2017-08-30 13:03:03	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.5	4.15e-07	7.11e-09	7.2e-09	6.9400000000000004e-09
BRa.10a:LP-DIR-T1.0	BRa.10a:LP-DIR-T	BRa.10a	1.9	228.0	23.1	0	0	0	0	1	373	This study	hargrave 2017-09-11 15:35:27	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.5	4.1299999999999995e-07	9.06e-09	6.65e-09	9.7e-09
BRa.10a:LP-DIR-T2.0	BRa.10a:LP-DIR-T	BRa.10a	1.3	232.8	20.5	0	0	0	0	2	473	This study	hargrave 2017-09-18 13:17:51	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.5	3.95e-07	3.9e-09	6.25e-09	6.25e-09
BRa.10a:LP-DIR-T3.0	BRa.10a:LP-DIR-T	BRa.10a	1.3	229.7	19.2	0	0	0	0	3	573	This study	hargrave 2017-09-20 12:09:08	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.5	3.5799999999999995e-07	2.64e-09	3.6099999999999997e-09	6.9400000000000004e-09
BRa.10a:LP-DIR-T4.0	BRa.10a:LP-DIR-T	BRa.10a	1.4	226.4	17.5	0	0	0	0	4	673	This study	hargrave 2017-09-27 12:21:02	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.5	3.07e-07	2.9399999999999998e-09	3.3899999999999997e-09	6.26e-09
BRa.10a:LP-DIR-T5.0	BRa.10a:LP-DIR-T	BRa.10a	2	224.3	16	0	0	0	0	5	723	This study	hargrave 2017-09-30 20:00:48	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.5	2.79e-07	8.11e-09	5.2e-09	3.08e-09
BRa.10a:LP-DIR-T6.0	BRa.10a:LP-DIR-T	BRa.10a	3.9	218.5	15.7	0	0	0	0	6	773	This study	hargrave 2017-10-14 16:57:56	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.5	2.3e-07	1.01e-08	1.1200000000000001e-08	4.74e-09
BRa.10a:LP-DIR-T7.0	BRa.10a:LP-DIR-T	BRa.10a	2	223.3	15.5	0	0	0	0	7	798	This study	hargrave 2017-10-22 12:09:15	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.5	2.22e-07	5.25e-09	4.9e-09	3.25e-09
BRa.10a:LP-DIR-T8.0	BRa.10a:LP-DIR-T	BRa.10a	4.9	224.4	14	0	0	0	0	8	823	This study	hargrave 2017-11-04 16:19:47	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.5	2.0399999999999997e-07	1.09e-08	1.32e-08	4.36e-09
BRa.10a:LP-DIR-T9.0	BRa.10a:LP-DIR-T	BRa.10a	7	216.5	14	0	0	0	0	9	828	This study	hargrave 2017-11-18 17:24:19	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.5	1.93e-07	1.53e-08	1.77e-08	4.7100000000000005e-09
BRa.10a:LP-DIR-T10.0	BRa.10a:LP-DIR-T	BRa.10a	2	217.0	14.4	0	0	0	0	10	833	This study	hargrave 2018-01-23 12:23:51	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.5	1.92e-07	2.6300000000000002e-09	5.28e-09	3.4799999999999996e-09
BRa.10a:LP-DIR-T11.0	BRa.10a:LP-DIR-T	BRa.10a	2.3	221.9	13.3	0	0	0	0	11	838	This study	hargrave 2018-02-11 18:54:36	LT-T-Z:LP-DIR-T	g	12	u	8	273			pmagpy-4.2.5	1.83e-07	2.7300000000000003e-09	3.45e-09	5.94e-09
BRa.10a:LP-DIR-T12.0	BRa.10a:LP-DIR-T	BRa.10a	2.4	219.1	13.6	0	0	0	0	12	843	This study	hargrave 2018-02-15 13:49:35	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-4.2.5	1.8e-07	2.44e-09	3.7200000000000004e-09	6.38e-09
BRa.10a:LP-DIR-T13.0	BRa.10a:LP-DIR-T	BRa.10a	2.2	221.5	13.1	0	0	0	0	13	848	This study	hargrave 2018-02-25 13:52:55	LT-T-Z:LP-DIR-T	g	14	u	8	273			pmagpy-4.2.5	1.7899999999999997e-07	6.34e-09	1.59e-09	4.91e-09
BRa.10a:LP-DIR-T14.0	BRa.10a:LP-DIR-T	BRa.10a	1.7	221.9	13.4	0	0	0	0	14	853	This study	hargrave 2018-03-08 18:02:49	LT-T-Z:LP-DIR-T	g	15	u	8	273			pmagpy-4.2.5	1.78e-07	3.0599999999999998e-09	2.1600000000000004e-09	4.46e-09
BRa.10a:LP-DIR-T15.0	BRa.10a:LP-DIR-T	BRa.10a	2.9	219.1	13	0	0	0	0	15	873	This study	hargrave 2018-04-05 17:43:51	LT-T-Z:LP-DIR-T	g	16	u	8	273			pmagpy-4.2.5	1.69e-07	4.39e-09	6.42e-09	3.6e-09
BRa.10a:LP-DIR-T16.0	BRa.10a:LP-DIR-T	BRa.10a	4.8	214.5	11.6	0	0	0	0	16	893	This study	hargrave 2018-04-08 12:13:26	LT-T-Z:LP-DIR-T	g	17	u	8	273			pmagpy-4.2.5	1.56e-07	8.740000000000001e-09	9.740000000000002e-09	1.55e-09
BRa.10a:LP-DIR-T17.0	BRa.10a:LP-DIR-T	BRa.10a	1.1	216.0	11.9	0	0	0	0	17	903	This study	hargrave 2018-05-03 13:41:27	LT-T-Z:LP-DIR-T	g	18	u	8	273			pmagpy-4.2.5	1.49e-07	1.14e-09	1.11e-09	2.6800000000000003e-09
BRa.10a:LP-DIR-T18.0	BRa.10a:LP-DIR-T	BRa.10a	4.8	215.4	11.6	0	0	0	0	18	913	This study	hargrave 2018-05-06 12:48:36	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-4.2.5	1.43e-07	6.29e-09	9.68e-09	3.74e-09
BRa.10a:LP-DIR-T19.0	BRa.10a:LP-DIR-T	BRa.10a	1.3	216.7	11.3	0	0	0	0	19	918	This study	hargrave 2018-05-08 02:17:34	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-4.2.5	1.3900000000000001e-07	1.21e-09	6.859999999999999e-10	3.14e-09
BRa.10a:LP-DIR-T20.0	BRa.10a:LP-DIR-T	BRa.10a	5.3	213.3	12.2	0	0	0	0	20	923	This study	hargrave 2018-06-07 15:16:27	LT-T-Z:LP-DIR-T	g	21	u	8	273			pmagpy-4.2.5	1.37e-07	8.050000000000001e-09	9.46e-09	3.4700000000000002e-09
